No.,País,Jogos,Ouro,Prata,Bronze,Total,NOC
1,Estados Unidos,29,1101,880,781,2762,USA
2,União Soviética,9,395,319,296,1010,URS
3,China,12,302,227,197,726,CHN
4,Grã-Bretanha,30,300,338,344,982,GBR
5,França,30,240,280,298,818,FRA
6,Itália,29,228,201,228,657,ITA
7,Alemanha,18,213,218,254,685,GER
8,Japão,24,190,162,190,542,JPN
9,Hungria,28,187,161,176,524,HUN
10,Austrália,28,182,189,225,596,AUS
11,Alemanha Oriental,5,153,129,127,409,GDR
12,Suécia,29,152,180,182,514,SWE
13,Rússia,6,148,125,153,426,RUS
14,Países Baixos,27,110,112,134,356,NED
15,Coreia do Sul,19,109,100,110,319,KOR
16,Finlândia,27,101,85,119,305,FIN
17,Romênia,23,93,102,124,319,ROU
18,Cuba,22,87,73,90,250,CUB
19,Canadá,28,80,116,157,353,CAN
20,Polônia,23,73,93,142,308,POL
21,Noruega,27,64,52,52,168,NOR
22,Nova Zelândia,25,63,40,53,156,NZL
23,Bulgária,22,57,89,85,231,BUL
24,Alemanha Ocidental,5,56,67,81,204,FRG
25,Suíça,29,54,81,78,213,SUI
26,Espanha,25,53,76,56,185,ESP
27,Dinamarca,29,50,80,84,214,DEN
28,Checoslováquia,16,49,49,45,143,TCH
29,Bélgica,28,46,55,64,165,BEL
30,Equipa Unificada,1,45,38,29,112,EUN
31,Turquia,24,41,29,42,112,TUR
32,Brasil,24,40,49,81,170,BRA
33,Quênia,16,39,44,41,124,KEN
34,Ucrânia,7,38,41,72,151,UKR
35,Grécia,30,36,45,46,127,GRE
36,Equipe Alemã Unida,3,28,54,36,118,EUA
37,África do Sul,21,28,36,31,95,RSA
38,Iugoslávia,18,28,31,31,90,YUG
39,Jamaica,19,27,39,27,93,JAM
40,Irã,18,26,29,33,88,IRI
41,Etiópia,14,23,12,23,58,ETH
42,Argentina,25,21,26,30,77,ARG
43,ROC,1,20,28,23,71,ROC
44,Áustria,28,19,34,41,94,AUT
45,Chéquia,7,19,21,27,67,CZE
46,Coreia do Norte,10,16,16,22,54,PRK
47,Cazaquistão,7,15,21,36,72,KAZ
48,Croácia,8,14,13,14,41,CRO
49,Bielorrússia,7,13,30,42,85,BLR
50,México,24,13,24,36,73,MEX
51,Irlanda,22,11,10,14,35,IRL
52,Eslováquia,7,10,14,8,32,SVK
53,Geórgia,7,10,12,18,40,GEO
54,Estônia,13,10,9,17,36,EST
55,Índia,25,10,9,16,35,IND
56,Tailândia,17,10,8,17,35,THA
57,Uzbequistão,7,10,6,20,36,UZB
58,Indonésia,16,8,14,15,37,INA
59,Egito,23,8,11,19,38,EGY
60,Eslovênia,8,8,9,11,28,SLO
61,Equipa mista,3,8,5,4,17,ZZX
62,Bahamas,17,8,2,6,16,BAH
63,Azerbaijão,7,7,14,28,49,AZE
64,Taipé Chinês,15,7,11,18,36,TPE
65,Marrocos,15,7,5,12,24,MAR
66,Lituânia,10,6,7,13,26,LTU
67,Sérvia,5,6,7,11,24,SRB
68,Colômbia,20,5,13,15,33,COL
69,Portugal,25,5,9,14,28,POR
70,Argélia,14,5,4,8,17,ALG
71,Tunísia,15,5,3,7,15,TUN
72,Letônia,12,4,11,6,21,LAT
73,Uganda,16,4,4,3,11,UGA
74,Nigéria,17,3,11,13,27,NGR
75,Venezuela,19,3,7,9,19,VEN
76,Trinidad e Tobago,18,3,5,11,19,TRI
77,República Dominicana,15,3,5,4,12,DOM
78,Australásia,2,3,4,5,12,ANZ
79,Zimbabwe,14,3,4,1,8,ZIM
80,Paquistão,18,3,3,4,10,PAK
81,Equador,15,3,2,0,5,ECU
82,Israel,17,3,1,9,13,ISR
83,Camarões,15,3,1,2,6,CMR
84,Kosovo,2,3,0,0,3,KOS
85,Mongólia,14,2,11,17,30,MGL
86,Armênia,7,2,8,8,18,ARM
87,Chile,24,2,7,4,13,CHI
88,Hong Kong,17,2,3,4,9,HKG
89,Porto Rico,19,2,2,6,10,PUR
89,Uruguai,22,2,2,6,10,URU
91,Barém,10,2,2,0,4,BRN
92,Catar,10,2,1,5,8,QAT
93,Fiji,15,2,0,1,3,FIJ
94,Filipinas,22,1,5,8,14,PHI
95,Império Russo,3,1,4,3,8,RUS
